GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aqua-spring-petclinic,org.springframework.samples.petclinic,PetClinicApplication,5,3,0,0,2,1,1,1,1,1
aqua-spring-petclinic,org.springframework.samples.petclinic.model,BaseEntity,0,17,0,2,0,5,0,5,0,4
aqua-spring-petclinic,org.springframework.samples.petclinic.model,NamedEntity,0,13,0,0,0,5,0,4,0,4
aqua-spring-petclinic,org.springframework.samples.petclinic.model,Person,0,17,0,0,0,7,0,5,0,5
aqua-spring-petclinic,org.springframework.samples.petclinic.vet,VetController,0,82,0,0,0,19,0,5,0,5
aqua-spring-petclinic,org.springframework.samples.petclinic.vet,Vet,4,41,0,2,2,10,1,6,1,5
aqua-spring-petclinic,org.springframework.samples.petclinic.vet,Specialty,0,3,0,0,0,1,0,1,0,1
aqua-spring-petclinic,org.springframework.samples.petclinic.vet,Vets,0,14,0,2,0,4,0,3,0,2
aqua-spring-petclinic,org.springframework.samples.petclinic.owner,VisitController,0,64,0,2,0,18,0,6,0,5
aqua-spring-petclinic,org.springframework.samples.petclinic.owner,Owner,2,160,3,15,1,41,3,20,0,14
aqua-spring-petclinic,org.springframework.samples.petclinic.owner,OwnerController,0,206,0,12,0,47,0,18,0,12
aqua-spring-petclinic,org.springframework.samples.petclinic.owner,PetTypeFormatter,0,44,0,4,0,10,0,5,0,3
aqua-spring-petclinic,org.springframework.samples.petclinic.owner,PetType,0,3,0,0,0,1,0,1,0,1
aqua-spring-petclinic,org.springframework.samples.petclinic.owner,Pet,0,31,0,0,0,11,0,7,0,7
aqua-spring-petclinic,org.springframework.samples.petclinic.owner,Visit,0,20,0,0,0,9,0,5,0,5
aqua-spring-petclinic,org.springframework.samples.petclinic.owner,PetController,5,122,3,9,1,30,3,13,0,10
aqua-spring-petclinic,org.springframework.samples.petclinic.owner,PetValidator,5,36,1,7,1,10,1,6,0,3
aqua-spring-petclinic,org.springframework.samples.petclinic.system,WelcomeController,2,3,0,0,1,1,1,1,1,1
aqua-spring-petclinic,org.springframework.samples.petclinic.system,CacheConfiguration,13,6,0,0,1,2,2,2,2,2
aqua-spring-petclinic,org.springframework.samples.petclinic.system,CrashController,5,3,0,0,1,1,1,1,1,1
